/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/pyo4PkQ5xkk_000038_000048.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/HE-mXTuzyMg_000001_000011.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/zolHdGMgoxw_000015_000025.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/Xx2z3I2cUek_000000_000010.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/ntkpao81pdw_000020_000030.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/XSc5ZQ_eHPw_000041_000051.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/FL32q7UuFxY_000112_000122.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/xLMVWjOOMM0_000171_000181.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/Sn7pKXli2lY_000148_000158.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/8MAEtBl4WII_000006_000016.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/2bDzAT2QDKs_000122_000132.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/QM0btaVGRP4_000052_000062.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/q5LdOScO-68_000131_000141.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/T8qimHUajPc_000034_000044.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/rPXy3uu1kAE_000016_000026.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/7wVW1kP-AA8_000564_000574.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/X6Cu46lkpWc_000343_000353.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/IsBu5Gq0Edc_000376_000386.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/_3QULBX1kQE_000024_000034.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/hxQWiSeHszw_000000_000010.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/n3jc7ygFewE_000137_000147.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/YOTxUUnuVuY_000035_000045.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/unJvodAYS3o_000000_000010.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/PsZrSuqa19g_000062_000072.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/9V4wDzBaAqA_000046_000056.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/N-VaN7mC3Ic_000000_000010.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/S_VYEzMPF1k_000000_000010.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/PfGFmd6l4fs_000015_000025.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/XbytWIkXFIw_000027_000037.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/YfUuu8ImftI_000013_000023.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/0e7zzQiFL98_000032_000042.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/UyW-5IqtPoQ_000093_000103.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/ZTVChREfNDM_000018_000028.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/Ib7NNJLjyT8_000004_000014.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/S0y9eKZHtAk_000054_000064.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/wNOsCBokAW4_000052_000062.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/ybCeb1qB-w4_000033_000043.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/Y9tyLzTyByM_000026_000036.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/DXCFiYNCjaE_000017_000027.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/HgLpacoNeiw_000041_000051.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/qBuAWLo1p-E_000018_000028.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/OvTfBF1JAeY_000019_000029.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/oo_qtbHp1hs_000045_000055.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/1ePv7m8h-18_000081_000091.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/I0WBTp05VW4_000018_000028.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/vB51MIHDQjo_000093_000103.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/6YzJoLbTbyc_000020_000030.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/vgixt-XVxxw_000122_000132.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/AgUE1d464Xo_000045_000055.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/hMQI6U5raZk_000088_000098.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/RKW3DLy_rto_000016_000026.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/fcVHmV028G8_000046_000056.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/-xMDCIZsu9Q_000034_000044.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/lV3Epg1MBwE_000114_000124.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/4lo8wYOvvvs_000022_000032.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/Fp0NyeTzAtc_000031_000041.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/UZVN6YivwQA_000037_000047.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/sccpaEgw6c8_000038_000048.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/acYDXmT9E-Y_000031_000041.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/t4HP_2JpTX0_000000_000010.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/uw9BnaWe8kA_000029_000039.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/hCNFArk0BN0_000067_000077.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/Vhm_aLu0jVg_000003_000013.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/FxlIcWWJ-8w_000007_000017.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/8T9iAVEVerU_000039_000049.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/2MbfIUZcuDE_000062_000072.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/cb-o4cJgH6U_000005_000015.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/555wf-ctMb8_000059_000069.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/w_GrVniKZnw_000030_000040.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/NQ1Uw-9oIAE_000000_000010.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/U0cnwSm5rjc_000012_000022.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/be9a87-tNXw_000072_000082.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/Av2ujL6yn3U_000022_000032.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/ee7nwzSG__c_000000_000010.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/E3ErODHrY_Q_000119_000129.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/cXmBiQTAJl4_000090_000100.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/r_mGpSDIbQQ_000087_000097.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/luvpaTLGgek_000005_000015.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/Z0fTwsTDnyU_000261_000271.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/BLRo042eO84_000024_000034.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/kGZxAXlaBzM_000024_000034.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/_M3fJrJOLp0_000004_000014.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/AMzJRLePFLA_000013_000023.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/_ebttTfFnWE_000029_000039.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/HCsqF63Z3f8_000011_000021.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/00rtry4LqmE_000048_000058.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/-NEOFiRd1Fw_000000_000010.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/gCtdDWcmLvA_000037_000047.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/EAaJuwG9_cc_000059_000069.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/MV5XDFZEFtQ_000021_000031.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/6oWPuQZJXyY_000000_000010.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/-Sakghltwyc_000013_000023.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/pg0iV8CUG2g_000023_000033.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/gFHvL80C6GE_000030_000040.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/rEI_Dwk4VhE_000000_000010.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/ChYEspyQaG0_000006_000016.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/pK8YikzmaYU_000020_000030.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/xKbNPQJ1QGM_000143_000153.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/YoKhrZrHdZs_000115_000125.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/yZXwNFTSfCk_000000_000010.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/LPVuoRILQxA_000009_000019.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/C_90mQ9pceY_000018_000028.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/s5ta07a1K2Q_000035_000045.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/gWihpP8QDRQ_000003_000013.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/pkfDwm6nb-w_000002_000012.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/bhd-Yrpc9mU_000062_000072.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/KPFXi9fOllE_000045_000055.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/ivQ83wGNNXU_000041_000051.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/2ZVNC61eWew_000052_000062.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/_i_XtMuoI7I_000029_000039.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/_WiW4Nndb5Q_000014_000024.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/_RIymoni9JU_000062_000072.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/09QIrVprBak_000028_000038.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/8vX2uxBxuhQ_000032_000042.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/AYVXYj3ZX1I_000008_000018.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/nxfxnnJPeQU_000000_000010.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/OtStqHT0Ero_000041_000051.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/E23sg77gRYU_000046_000056.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/NWINZ6VCZ6U_000002_000012.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/OhXlxVmMVuI_000007_000017.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/sipping cup/abnl7IML4xg_000030_000040.mp4, sipping cup
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/OoS66fYii3c_000026_000036.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/HscZIDPvZ-Y_000002_000012.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/drje3J4Yuiw_000460_000470.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/DTfwWuhdfY8_000033_000043.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/qa7Kzr7HW1Y_000039_000049.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/jFic-2cKy1E_000058_000068.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/YEfnz2wBciU_000000_000010.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/yQVAx6pZVio_000082_000092.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/5btqBX176z4_000000_000010.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/jLvQiD5tQC4_000038_000048.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/J-NR22d4eyc_000209_000219.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/YfmxAQolBbw_000326_000336.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/c6jtoo8-ybo_000041_000051.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/OtefzAPNRDM_000036_000046.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/MCrkprK4nMo_000061_000071.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/wDPHVIrvVxA_000057_000067.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/Fn7gq_MfiGA_000313_000323.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/DSgJ4sKhb9c_000046_000056.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/-J4Q8d1SQoA_000098_000108.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/YFJC-uzo-i4_000004_000014.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/H3mg2Q1mI9U_000882_000892.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/o6d1uLGb-vo_000048_000058.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/_srcEmpb6X0_000156_000166.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/wR7KpRVq5e4_000425_000435.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/n5nLXrv7lLM_000079_000089.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/fyC-xHfQc9c_000197_000207.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/vHoICx4mKOo_000037_000047.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/c5OQsaY-HLI_000042_000052.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/JSlHcBloYR4_000036_000046.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/zvMhaI1jnAM_000118_000128.mp4, treating wood
/home/alec/Documents/SmallDatasets/KineticsSmall/treating wood/kKW1-etAjss_000081_000091.mp4, treating wood
